department,page_url,number
대학 공지,https://www.pusan.ac.kr/kor/CMS/Board/PopupBoard.do?robot=Y&mgr_seq=3&mode=list&page=2,227
대학 공지,https://www.pusan.ac.kr/kor/CMS/Board/PopupBoard.do?robot=Y&mgr_seq=3&mode=list&page=1,227
공과대학 공지사항,https://eng.pusan.ac.kr/eng/23336/subview.do,124
기계공학부(학부),https://me.pusan.ac.kr/new/sub05/sub01_01.asp,4110
기계공학부(대학원),https://me.pusan.ac.kr/new/sub05/sub01_02.asp,2821
기계공학부(장학),https://me.pusan.ac.kr/new/sub05/sub01_05.asp,291
고분자공학과,https://polymer.pusan.ac.kr/polymer/64486/subview.do,842
고분자공학과(장학),https://polymer.pusan.ac.kr/polymer/16546/subview.do,213
고분자공학과(취업),https://polymer.pusan.ac.kr/polymer/16547/subview.do,1043
유기소재시스템공학과,https://omse.pusan.ac.kr/omse/16246/subview.do,354
화공생명공학과,https://chemeng.pusan.ac.kr/chemeng/15735/subview.do,166
화공생명공학과(취업/장학),https://chemeng.pusan.ac.kr/chemeng/15737/subview.do,245
환경공학과,https://pnuenv.pusan.ac.kr/pnuenv/15177/subview.do,3436
환경공학과(취업),https://pnuenv.pusan.ac.kr/pnuenv/15180/subview.do,1074
전자공학과(학부),https://ee.pusan.ac.kr/ee/ug-notice.do,2872
전기공학과(학부),https://eec.pusan.ac.kr/eehome/14870/subview.do,3420
전기공학과(대학원),https://eec.pusan.ac.kr/eehome/14871/subview.do,603
전기공학과(취업),https://eec.pusan.ac.kr/eehome/14872/subview.do,1222
반도체공학과,https://semi.pusan.ac.kr/semi/71943/subview.do,268
조선해양공학과(학부),https://naoe.pusan.ac.kr/naoe/15332/subview.do,444
조선해양공학과(대학원),https://naoe.pusan.ac.kr/naoe/15334/subview.do,174
조선해양공학과(취업),https://naoe.pusan.ac.kr/naoe/32014/subview.do,274
재료공학부(학부),https://mse.pusan.ac.kr/mse/38585/subview.do,1309
재료공학부(대학원),https://mse.pusan.ac.kr/mse/50825/subview.do,260
재료공학부(자유),https://mse.pusan.ac.kr/mse/50826/subview.do,929
재료공학부(취업),https://mse.pusan.ac.kr/mse/38587/subview.do,694
재료공학부(행사),https://mse.pusan.ac.kr/mse/38588/subview.do,143
산업공학과,https://ie.pusan.ac.kr/ie/73110/subview.do,1586
산업공학과(취업),https://ie.pusan.ac.kr/ie/19428/subview.do,4361
항공우주공학과,https://aerospace.pusan.ac.kr/aerospace/16375/subview.do,3403
항공우주공학과(장학),https://aerospace.pusan.ac.kr/aerospace/16367/subview.do,382
항공우주공학과(취업),https://aerospace.pusan.ac.kr/aerospace/16368/subview.do,694
건축공학과(학부),https://archieng.pusan.ac.kr/_archieng/20232/subview.do,613
건축공학과(대학원),https://archieng.pusan.ac.kr/_archieng/57415/subview.do,51
건축공학과(자유),https://archieng.pusan.ac.kr/_archieng/20233/subview.do,35
건축학과,https://archi.pusan.ac.kr/archi/19643/subview.do,128
건축학과(취업),https://archi.pusan.ac.kr/archi/48576/subview.do,175
도시공학과,https://urban.pusan.ac.kr/urban/17084/subview.do,2930
도시공학과(취업),https://urban.pusan.ac.kr/urban/17086/subview.do,292
사회기반시스템공학과(학부),https://civil.pusan.ac.kr/civil/16275/subview.do,668
사회기반시스템공학과(대학원),https://civil.pusan.ac.kr/civil/16276/subview.do,597
정보의생명공학대학 공지사항,https://ibe.pusan.ac.kr/ibe/50167/subview.do,414
정보컴퓨터공학부(학부),https://cse.pusan.ac.kr/cse/14651/subview.do,5289
정보컴퓨터공학부(대학원),https://cse.pusan.ac.kr/cse/14659/subview.do,1271
정보컴퓨터공학부(취업),https://cse.pusan.ac.kr/cse/14667/subview.do,2772
정보컴퓨터공학부(기타),https://cse.pusan.ac.kr/cse/54538/subview.do,1698
정보컴퓨터공학부(자유),https://cse.pusan.ac.kr/cse/14669/subview.do,318
정보컴퓨터공학부(대회),https://cse.pusan.ac.kr/cse/50876/subview.do,163
의생명융합공학부,https://bce.pusan.ac.kr/bce/50189/subview.do,2255
의생명융합공학부(대학원),https://bce.pusan.ac.kr/bce/51703/subview.do,447
의생명융합공학부(취업),https://bce.pusan.ac.kr/bce/72281/subview.do,223
AI대학원,https://ai.pusan.ac.kr/ai/60711/subview.do,569
나노과학기술대학,https://nano.pusan.ac.kr/nano/14200/subview.do,2361
나노과학기술대학(장학),https://nano.pusan.ac.kr/nano/14201/subview.do,143
나노메카트로닉스공학과,https://nanomecha.pusan.ac.kr/nanomecha/16506/subview.do,985
나노메카트로닉스공학과(장학),https://nanomecha.pusan.ac.kr/nanomecha/16508/subview.do,443
나노메카트로닉스공학과(취업),https://nanomecha.pusan.ac.kr/nanomecha/16509/subview.do,440
나노에너지공학과,https://energy.pusan.ac.kr/energy/15619/subview.do,1083
나노에너지공학과(장학),https://energy.pusan.ac.kr/energy/15620/subview.do,463
나노에너지공학과(취업),https://energy.pusan.ac.kr/energy/15621/subview.do,467
광메카트로닉스공학과,https://ome.pusan.ac.kr/ome/16652/subview.do,984
광메카트로닉스공학과(장학),https://ome.pusan.ac.kr/ome/16653/subview.do,417
광메카트로닉스공학과(취업),https://ome.pusan.ac.kr/ome/16654/subview.do,539
자연과학대학 공지사항,https://natural.pusan.ac.kr/natural/12901/subview.do,86
수학과(학부),https://math.pusan.ac.kr/math/66565/subview.do,3263
수학과(대학원),https://math.pusan.ac.kr/math/66572/subview.do,318
수학과(취업),https://math.pusan.ac.kr/math/66568/subview.do,1152
통계학과,https://stat.pusan.ac.kr/stat/15128/subview.do,2151
통계학과(취업),https://stat.pusan.ac.kr/stat/15129/subview.do,1271
물리학과(학부),https://phys.pusan.ac.kr/phys/14948/subview.do,2995
물리학과(대학원),https://phys.pusan.ac.kr/phys/14949/subview.do,884
물리학과(취업),https://phys.pusan.ac.kr/phys/14950/subview.do,380
화학과,https://chem.pusan.ac.kr/chem/15255/subview.do,3480
화학과(취업),https://chem.pusan.ac.kr/chem/15257/subview.do,2007
생명과학과(학부),https://biology.pusan.ac.kr/biology/16045/subview.do,2401
생명과학과(대학원),https://biology.pusan.ac.kr/biology/16049/subview.do,543
생명과학과(취업),https://biology.pusan.ac.kr/biology/16058/subview.do,700
미생물학과(학부),https://microbio.pusan.ac.kr/microbio/15867/subview.do,2995
미생물학과(대학원),https://microbio.pusan.ac.kr/microbio/15868/subview.do,544
미생물학과(취업),https://microbio.pusan.ac.kr/microbio/15869/subview.do,167
지질환경과학과,https://geology.pusan.ac.kr/geology/15533/subview.do,1818
지질환경과학과(자유),https://geology.pusan.ac.kr/geology/15535/subview.do,962
지질환경과학과(취업),https://geology.pusan.ac.kr/geology/15551/subview.do,257
대기환경과학과,https://atmos.pusan.ac.kr/atmos/15905/subview.do,1382
대기환경과학과(자유),https://atmos.pusan.ac.kr/atmos/15906/subview.do,278
해양학과,https://ocean.pusan.ac.kr/ocean/15778/subview.do,1868
해양학과(장학),https://ocean.pusan.ac.kr/ocean/15783/subview.do,236
해양학과(취업),https://ocean.pusan.ac.kr/ocean/15779/subview.do,407
경제통상대학 공지사항(취업),https://econtr.pusan.ac.kr/econtr/14430/subview.do,150
경영학과(학부),https://biz.pusan.ac.kr/biz/14344/subview.do,2753
경영학과(대학원),https://biz.pusan.ac.kr/biz/14345/subview.do,1351
경영학과(취업),https://biz.pusan.ac.kr/biz/48588/subview.do,1241
경영학과(장학),https://biz.pusan.ac.kr/biz/48589/subview.do,601
경제학부(학부),https://pnuecon.pusan.ac.kr/pnuecon/16317/subview.do,174
경제학부(취업),https://pnuecon.pusan.ac.kr/pnuecon/33043/subview.do,59
무역학부(학부),https://pnutrade.pusan.ac.kr/pnutrade/16955/subview.do,3172
무역학부(대학원),https://pnutrade.pusan.ac.kr/pnutrade/16956/subview.do,1165
무역학부(취업),https://pnutrade.pusan.ac.kr/pnutrade/16958/subview.do,820
관광컨벤션학과(학부),https://convention.pusan.ac.kr/convention/16780/subview.do,1231
관광컨벤션학과(대학원),https://convention.pusan.ac.kr/convention/40386/subview.do,343
관광컨벤션학과(취업),https://convention.pusan.ac.kr/convention/16781/subview.do,659
공공정책학부,https://ppm.pusan.ac.kr/ppm/17493/subview.do,294
국제전문대학원,https://graduate.pusan.ac.kr/gsis/52005/subview.do,732
국제전문대학원(기타),https://graduate.pusan.ac.kr/gsis/52006/subview.do,166
예술대학 공지사항,https://art.pusan.ac.kr/art/14169/subview.do,16
음악학과,https://music.pusan.ac.kr/music/16183/subview.do,1246
음악학과(취업),https://music.pusan.ac.kr/music/16187/subview.do,592
한국음악학과,https://gukak.pusan.ac.kr/gukak/20347/subview.do,966
미술학과,https://pnuart.pusan.ac.kr/pnuart/20095/subview.do,260
조형학과,https://plarts.pusan.ac.kr/plarts/22177/subview.do,301
디자인학과,https://design.pusan.ac.kr/design/16811/subview.do,415
무용학과,https://dance.pusan.ac.kr/dance/21024/subview.do,35
예술문화영상학과,https://artimage.pusan.ac.kr/artimage/16476/subview.do,528
예술문화영상학과(자유),https://artimage.pusan.ac.kr/artimage/16480/subview.do,133
생활과학대학 공지사항,https://che.pusan.ac.kr/che/14121/subview.do,294
아동가족학과,https://cdfs.pusan.ac.kr/cdfs/17266/subview.do,1815
아동가족학과(취업),https://cdfs.pusan.ac.kr/cdfs/17269/subview.do,142
의류학과,https://fashion.pusan.ac.kr/fashion/17222/subview.do,2550
식품영양학과,https://fsn.pusan.ac.kr/fsn/15462/subview.do,315
식품영양학과(취업),https://fsn.pusan.ac.kr/fsn/15438/subview.do,187
실내환경디자인학과,https://hid.pusan.ac.kr/hid/17458/subview.do,984
실내환경디자인학과(취업),https://hid.pusan.ac.kr/hid/73525/subview.do,20
실내환경디자인학과(기타),https://hid.pusan.ac.kr/hid/73526/subview.do,10
실내환경디자인학과(자유),https://hid.pusan.ac.kr/hid/17462/subview.do,233
스포츠과학과,https://sportscience.pusan.ac.kr/sportscience/14558/subview.do,1266
스포츠과학과(취업),https://sportscience.pusan.ac.kr/sportscience/14564/subview.do,67
생명자원과학대학 공지사항,https://nrls.pusan.ac.kr/nrls/14277/subview.do,215
원예생명과학과,https://his.pusan.ac.kr/horticulture/21127/subview.do,514
원예생명과학과(취업),https://his.pusan.ac.kr/horticulture/21122/subview.do,85
원예생명과학과(자유),https://his.pusan.ac.kr/horticulture/21131/subview.do,89
동물생명자원과학과,https://animal.pusan.ac.kr/animal/16623/subview.do,787
식품공학과,https://fst.pusan.ac.kr/fst/20152/subview.do,245
생명환경화학과,https://pnu-lseb.pusan.ac.kr/pnu-lseb/21666/subview.do,577
바이오소재과학과,https://bm.pusan.ac.kr/bm/16433/subview.do,1226
바이오산업기계공학과,https://bime.pusan.ac.kr/bime/19546/subview.do,586
바이오산업기계공학과(취업),https://bime.pusan.ac.kr/bime/19547/subview.do,95
